month,state_name,contact_mode,age_group,gender,scam_category,amount_lost,reports,state
2025-01-01,New South Wales,Email,45 - 54,Male,Phishing scams,0.0,37,NSW
2025-02-01,New South Wales,Email,45 - 54,Male,Phishing scams,0.0,42,NSW
2025-03-01,New South Wales,Email,45 - 54,Male,Phishing scams,641.07,21,NSW
2025-04-01,New South Wales,Email,45 - 54,Male,Phishing scams,0.0,17,NSW
2025-05-01,New South Wales,Email,45 - 54,Male,Phishing scams,38000.0,19,NSW
2025-06-01,New South Wales,Email,45 - 54,Male,Phishing scams,0.0,28,NSW
2025-07-01,New South Wales,Email,45 - 54,Male,Phishing scams,300.0,21,NSW
2025-08-01,New South Wales,Email,45 - 54,Male,Phishing scams,0.0,15,NSW
2025-09-01,New South Wales,Email,45 - 54,Male,Phishing scams,0.0,11,NSW
2025-10-01,New South Wales,Email,45 - 54,Male,Phishing scams,2600.0,21,NSW
2025-11-01,New South Wales,Email,45 - 54,Male,Phishing scams,500.0,18,NSW
2025-01-01,New South Wales,Email,45 - 54,Female,Phishing scams,0.0,39,NSW
2025-02-01,New South Wales,Email,45 - 54,Female,Phishing scams,500.0,33,NSW
2025-03-01,New South Wales,Email,45 - 54,Female,Phishing scams,0.0,44,NSW
2025-04-01,New South Wales,Email,45 - 54,Female,Phishing scams,1500.0,67,NSW
2025-05-01,New South Wales,Email,45 - 54,Female,Phishing scams,0.0,56,NSW
2025-06-01,New South Wales,Email,45 - 54,Female,Phishing scams,0.0,37,NSW
2025-07-01,New South Wales,Email,45 - 54,Female,Phishing scams,0.0,69,NSW
2025-08-01,New South Wales,Email,45 - 54,Female,Phishing scams,0.0,55,NSW
2025-09-01,New South Wales,Email,45 - 54,Female,Phishing scams,1874.0,33,NSW
2025-10-01,New South Wales,Email,45 - 54,Female,Phishing scams,0.0,38,NSW
2025-11-01,New South Wales,Email,45 - 54,Female,Phishing scams,210.0,33,NSW
2025-01-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,19,NSW
2025-02-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,19,NSW
2025-03-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,30,NSW
2025-04-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,19,NSW
2025-05-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,9,NSW
2025-06-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,19,NSW
2025-07-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,18,NSW
2025-08-01,New South Wales,Email,35 - 44,Female,Phishing scams,1599.28,12,NSW
2025-09-01,New South Wales,Email,35 - 44,Female,Phishing scams,880.0,16,NSW
2025-10-01,New South Wales,Email,35 - 44,Female,Phishing scams,0.0,20,NSW
2025-11-01,New South Wales,Email,35 - 44,Female,Phishing scams,10000.0,19,NSW
2025-10-01,New South Wales,Email,35 - 44,Male,Phishing scams,0.0,14,NSW
2025-11-01,New South Wales,Email,35 - 44,Male,Phishing scams,11900.0,14,NSW
2025-06-01,New South Wales,Email,35 - 44,Male,Phishing scams,0.0,5,NSW
2025-09-01,New South Wales,Email,35 - 44,Male,Phishing scams,35000.0,8,NSW
2025-01-01,New South Wales,Email,35 - 44,Male,Phishing scams,2662.51,15,NSW
2025-05-01,New South Wales,Email,35 - 44,Male,Phishing scams,500.0,13,NSW
2025-07-01,New South Wales,Email,35 - 44,Male,Phishing scams,14951.31,14,NSW
2025-02-01,New South Wales,Email,35 - 44,Male,Phishing scams,0.0,17,NSW
2025-03-01,New South Wales,Email,35 - 44,Male,Phishing scams,0.0,11,NSW
2025-08-01,New South Wales,Email,35 - 44,Male,Phishing scams,0.0,12,NSW
2025-04-01,New South Wales,Email,35 - 44,Male,Phishing scams,0.0,4,NSW
2025-02-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,2,NSW
2025-04-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-07-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,2,NSW
2025-08-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-07-01,New South Wales,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-10-01,New South Wales,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,NSW
2025-09-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,9,NSW
2025-01-01,New South Wales,Email,25 - 34,Male,Phishing scams,20000.0,8,NSW
2025-03-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,14,NSW
2025-08-01,New South Wales,Email,25 - 34,Male,Phishing scams,8732.37,10,NSW
2025-11-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,9,NSW
2025-04-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,3,NSW
2025-06-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,4,NSW
2025-07-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,9,NSW
2025-02-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,8,NSW
2025-10-01,New South Wales,Email,25 - 34,Male,Phishing scams,7200.0,9,NSW
2025-05-01,New South Wales,Email,25 - 34,Male,Phishing scams,0.0,10,NSW
2025-04-01,New South Wales,Email,25 - 34,Female,Phishing scams,520.0,8,NSW
2025-09-01,New South Wales,Email,25 - 34,Female,Phishing scams,0.0,5,NSW
2025-02-01,New South Wales,Email,25 - 34,Female,Phishing scams,752.36,20,NSW
2025-05-01,New South Wales,Email,25 - 34,Female,Phishing scams,16302.5,10,NSW
2025-01-01,New South Wales,Email,25 - 34,Female,Phishing scams,0.0,9,NSW
2025-10-01,New South Wales,Email,25 - 34,Female,Phishing scams,0.0,9,NSW
2025-06-01,New South Wales,Email,25 - 34,Female,Phishing scams,1600.0,9,NSW
2025-03-01,New South Wales,Email,25 - 34,Female,Phishing scams,0.0,9,NSW
2025-11-01,New South Wales,Email,25 - 34,Female,Phishing scams,0.0,4,NSW
2025-07-01,New South Wales,Email,25 - 34,Female,Phishing scams,0.0,7,NSW
2025-08-01,New South Wales,Email,25 - 34,Female,Phishing scams,2000.0,14,NSW
2025-10-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,3,NSW
2025-02-01,New South Wales,Email,18 - 24,Male,Phishing scams,0.0,5,NSW
2025-02-01,New South Wales,Email,18 - 24,Female,Phishing scams,1895.2,9,NSW
2025-03-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,1,NSW
2025-06-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,4,NSW
2025-11-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,1,NSW
2025-01-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,2,NSW
2025-01-01,New South Wales,Email,18 - 24,Male,Phishing scams,50.0,5,NSW
2025-08-01,New South Wales,Email,18 - 24,Male,Phishing scams,0.0,7,NSW
2025-04-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,4,NSW
2025-09-01,New South Wales,Email,18 - 24,Female,Phishing scams,2950.0,2,NSW
2025-05-01,New South Wales,Email,18 - 24,Male,Phishing scams,993.89,4,NSW
2025-09-01,New South Wales,Email,18 - 24,Male,Phishing scams,0.0,5,NSW
2025-08-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,1,NSW
2025-10-01,New South Wales,Email,18 - 24,Male,Phishing scams,0.0,3,NSW
2025-06-01,New South Wales,Email,18 - 24,Male,Phishing scams,0.0,4,NSW
2025-03-01,New South Wales,Email,18 - 24,Male,Phishing scams,1200.0,3,NSW
2025-05-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,3,NSW
2025-07-01,New South Wales,Email,18 - 24,Male,Phishing scams,0.0,1,NSW
2025-07-01,New South Wales,Email,18 - 24,Female,Phishing scams,0.0,1,NSW
2025-11-01,New South Wales,Email,18 - 24,Male,Phishing scams,2500.0,2,NSW
2025-01-01,New South Wales,Email,Under 18,Female,Phishing scams,0.0,1,NSW
2025-07-01,New South Wales,Email,Under 18,Male,Phishing scams,0.0,1,NSW
2025-04-01,New South Wales,Email,Under 18,Male,Phishing scams,0.0,1,NSW
2025-05-01,New South Wales,Email,Under 18,Male,Phishing scams,0.0,1,NSW
2025-08-01,New South Wales,Email,Under 18,Male,Phishing scams,0.0,2,NSW
2025-08-01,Victoria,Email,Under 18,Male,Phishing scams,0.0,2,VIC
2025-07-01,Victoria,Email,Under 18,Male,Phishing scams,0.0,1,VIC
2025-11-01,Victoria,Email,Under 18,Male,Phishing scams,0.0,1,VIC
2025-10-01,Victoria,Email,Under 18,Female,Phishing scams,0.0,1,VIC
2025-05-01,Victoria,Email,Under 18,Male,Phishing scams,0.0,1,VIC
2025-02-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,3,VIC
2025-08-01,Victoria,Email,18 - 24,Female,Phishing scams,100.0,7,VIC
2025-04-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,2,VIC
2025-09-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,5,VIC
2025-10-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,1,VIC
2025-01-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,3,VIC
2025-05-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,3,VIC
2025-03-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,3,VIC
2025-07-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,2,VIC
2025-09-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,5,VIC
2025-01-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,8,VIC
2025-03-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,2,VIC
2025-05-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,3,VIC
2025-06-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,2,VIC
2025-11-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,2,VIC
2025-04-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,2,VIC
2025-02-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,1,VIC
2025-06-01,Victoria,Email,18 - 24,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-06-01,Victoria,Email,18 - 24,Female,Phishing scams,0.0,4,VIC
2025-10-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,3,VIC
2025-07-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,1,VIC
2025-08-01,Victoria,Email,18 - 24,Male,Phishing scams,0.0,2,VIC
2025-01-01,Victoria,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,5,VIC
2025-11-01,Victoria,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-07-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,7,VIC
2025-06-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,6,VIC
2025-08-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,9,VIC
2025-04-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,3,VIC
2025-09-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,7,VIC
2025-10-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,6,VIC
2025-05-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,9,VIC
2025-03-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,2,VIC
2025-02-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,8,VIC
2025-11-01,Victoria,Email,25 - 34,Male,Phishing scams,12242.09,5,VIC
2025-01-01,Victoria,Email,25 - 34,Male,Phishing scams,0.0,1,VIC
2025-10-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,7,VIC
2025-01-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,8,VIC
2025-08-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,11,VIC
2025-05-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,6,VIC
2025-11-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,11,VIC
2025-09-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,8,VIC
2025-03-01,Victoria,Email,25 - 34,Female,Phishing scams,214.19,9,VIC
2025-02-01,Victoria,Email,25 - 34,Female,Phishing scams,2900.0,7,VIC
2025-04-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,4,VIC
2025-07-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,11,VIC
2025-06-01,Victoria,Email,25 - 34,Female,Phishing scams,0.0,7,VIC
2025-03-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,10,VIC
2025-08-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,12,VIC
2025-06-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,7,VIC
2025-02-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,18,VIC
2025-07-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,12,VIC
2025-01-01,Victoria,Email,35 - 44,Male,Phishing scams,16500.0,19,VIC
2025-04-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,8,VIC
2025-11-01,Victoria,Email,35 - 44,Male,Phishing scams,87.0,9,VIC
2025-05-01,Victoria,Email,35 - 44,Male,Phishing scams,1.94,7,VIC
2025-09-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,6,VIC
2025-10-01,Victoria,Email,35 - 44,Male,Phishing scams,0.0,6,VIC
2025-02-01,Victoria,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-10-01,Victoria,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-05-01,Victoria,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-01-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,12,VIC
2025-06-01,Victoria,Email,35 - 44,Female,Phishing scams,700.0,19,VIC
2025-04-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,16,VIC
2025-02-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,7,VIC
2025-10-01,Victoria,Email,35 - 44,Female,Phishing scams,255.29,11,VIC
2025-11-01,Victoria,Email,35 - 44,Female,Phishing scams,2256.0,11,VIC
2025-07-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,13,VIC
2025-03-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,12,VIC
2025-08-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,13,VIC
2025-05-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,7,VIC
2025-09-01,Victoria,Email,35 - 44,Female,Phishing scams,0.0,7,VIC
2025-11-01,Victoria,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-01-01,Victoria,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-01-01,Victoria,Email,45 - 54,Male,Phishing scams,6.0,33,VIC
2025-02-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,25,VIC
2025-03-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,29,VIC
2025-04-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,22,VIC
2025-05-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,16,VIC
2025-06-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,15,VIC
2025-07-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,26,VIC
2025-08-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,25,VIC
2025-09-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,30,VIC
2025-10-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,19,VIC
2025-11-01,Victoria,Email,45 - 54,Male,Phishing scams,0.0,11,VIC
2025-01-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,32,VIC
2025-02-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,22,VIC
2025-03-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,33,VIC
2025-04-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,28,VIC
2025-05-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,14,VIC
2025-06-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,18,VIC
2025-07-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,10,VIC
2025-08-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,19,VIC
2025-09-01,Victoria,Email,45 - 54,Female,Phishing scams,0.0,24,VIC
2025-10-01,Victoria,Email,45 - 54,Female,Phishing scams,5350.0,31,VIC
2025-11-01,Victoria,Email,45 - 54,Female,Phishing scams,1392.0,12,VIC
2025-03-01,Victoria,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,1,VIC
2025-01-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,62,VIC
2025-02-01,Victoria,Email,55 - 64,Male,Phishing scams,40617.13,62,VIC
2025-03-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,62,VIC
2025-04-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,57,VIC
2025-05-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,39,VIC
2025-06-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,43,VIC
2025-07-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,50,VIC
2025-08-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,45,VIC
2025-09-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,49,VIC
2025-10-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,24,VIC
2025-11-01,Victoria,Email,55 - 64,Male,Phishing scams,0.0,24,VIC
2025-01-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,58,VIC
2025-02-01,Victoria,Email,55 - 64,Female,Phishing scams,2070.8,74,VIC
2025-03-01,Victoria,Email,55 - 64,Female,Phishing scams,641.07,88,VIC
2025-04-01,Victoria,Email,55 - 64,Female,Phishing scams,232.17,68,VIC
2025-05-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,50,VIC
2025-06-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,63,VIC
2025-07-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,60,VIC
2025-08-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,46,VIC
2025-09-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,41,VIC
2025-10-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,40,VIC
2025-11-01,Victoria,Email,55 - 64,Female,Phishing scams,0.0,35,VIC
2025-07-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,12,VIC
2025-04-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,12,VIC
2025-03-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,13,VIC
2025-08-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,0.0,2,VIC
