StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_3,Amount_lost,Number_of_reports
2025-07-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,6
2025-10-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-09-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-11-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-05-01,New South Wales,Email,65 and over,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-01-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,31
2025-02-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,21
2025-03-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,43
2025-04-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,15
2025-05-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,15
2025-06-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,72
2025-07-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,52
2025-08-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,21
2025-09-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,6
2025-10-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,9
2025-11-01,New South Wales,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,5
2025-01-01,New South Wales,Email,Unspecified,Male,Phishing scams,$0.00,135
2025-02-01,New South Wales,Email,Unspecified,Male,Phishing scams,$0.00,142
2025-03-01,New South Wales,Email,Unspecified,Male,Phishing scams,$0.00,174
2025-04-01,New South Wales,Email,Unspecified,Male,Phishing scams,$1800.00,165
2025-05-01,New South Wales,Email,Unspecified,Male,Phishing scams,$0.00,227
2025-06-01,New South Wales,Email,Unspecified,Male,Phishing scams,$46500.00,192
2025-07-01,New South Wales,Email,Unspecified,Male,Phishing scams,$0.00,181
2025-08-01,New South Wales,Email,Unspecified,Male,Phishing scams,$0.00,132
2025-09-01,New South Wales,Email,Unspecified,Male,Phishing scams,$0.00,109
2025-10-01,New South Wales,Email,Unspecified,Male,Phishing scams,$2000.00,94
2025-11-01,New South Wales,Email,Unspecified,Male,Phishing scams,$8500.00,77
2025-01-01,New South Wales,Email,Unspecified,Female,Phishing scams,$0.00,185
2025-02-01,New South Wales,Email,Unspecified,Female,Phishing scams,$0.00,175
2025-03-01,New South Wales,Email,Unspecified,Female,Phishing scams,$565.00,134
2025-04-01,New South Wales,Email,Unspecified,Female,Phishing scams,$0.00,146
2025-05-01,New South Wales,Email,Unspecified,Female,Phishing scams,$0.00,163
2025-06-01,New South Wales,Email,Unspecified,Female,Phishing scams,$0.00,196
2025-07-01,New South Wales,Email,Unspecified,Female,Phishing scams,$1000.00,202
2025-08-01,New South Wales,Email,Unspecified,Female,Phishing scams,$99.50,263
2025-09-01,New South Wales,Email,Unspecified,Female,Phishing scams,$0.00,170
2025-10-01,New South Wales,Email,Unspecified,Female,Phishing scams,$3920.33,102
2025-11-01,New South Wales,Email,Unspecified,Female,Phishing scams,$5160.00,129
2025-01-01,New South Wales,Email,55 - 64,Male,Phishing scams,$0.00,81
2025-02-01,New South Wales,Email,55 - 64,Male,Phishing scams,$0.00,94
2025-03-01,New South Wales,Email,55 - 64,Male,Phishing scams,$0.00,88
2025-04-01,New South Wales,Email,55 - 64,Male,Phishing scams,$50.00,70
2025-05-01,New South Wales,Email,55 - 64,Male,Phishing scams,$4000.00,85
2025-06-01,New South Wales,Email,55 - 64,Male,Phishing scams,$18000.00,61
2025-07-01,New South Wales,Email,55 - 64,Male,Phishing scams,$0.00,83
2025-08-01,New South Wales,Email,55 - 64,Male,Phishing scams,$0.00,62
2025-09-01,New South Wales,Email,55 - 64,Male,Phishing scams,$1500.00,71
2025-10-01,New South Wales,Email,55 - 64,Male,Phishing scams,$40.00,49
2025-11-01,New South Wales,Email,55 - 64,Male,Phishing scams,$6200.00,57
2025-01-01,New South Wales,Email,55 - 64,Female,Phishing scams,$0.00,86
2025-02-01,New South Wales,Email,55 - 64,Female,Phishing scams,$14099.00,84
2025-03-01,New South Wales,Email,55 - 64,Female,Phishing scams,$0.00,72
2025-04-01,New South Wales,Email,55 - 64,Female,Phishing scams,$10000.00,80
2025-05-01,New South Wales,Email,55 - 64,Female,Phishing scams,$8940.48,57
2025-06-01,New South Wales,Email,55 - 64,Female,Phishing scams,$0.00,50
2025-07-01,New South Wales,Email,55 - 64,Female,Phishing scams,$3007.09,51
2025-08-01,New South Wales,Email,55 - 64,Female,Phishing scams,$3749.99,72
2025-09-01,New South Wales,Email,55 - 64,Female,Phishing scams,$45100.00,63
2025-10-01,New South Wales,Email,55 - 64,Female,Phishing scams,$172.02,47
2025-11-01,New South Wales,Email,55 - 64,Female,Phishing scams,$294.00,58
2025-11-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-01-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-04-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,2
2025-03-01,New South Wales,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-08-01,New South Wales,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-02-01,New South Wales,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-09-01,New South Wales,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-01-01,New South Wales,Email,45 - 54,Male,Phishing scams,$0.00,37
2025-02-01,New South Wales,Email,45 - 54,Male,Phishing scams,$0.00,42
2025-03-01,New South Wales,Email,45 - 54,Male,Phishing scams,$641.07,21
2025-04-01,New South Wales,Email,45 - 54,Male,Phishing scams,$0.00,17
2025-05-01,New South Wales,Email,45 - 54,Male,Phishing scams,$38000.00,19
2025-06-01,New South Wales,Email,45 - 54,Male,Phishing scams,$0.00,28
2025-07-01,New South Wales,Email,45 - 54,Male,Phishing scams,$300.00,21
2025-08-01,New South Wales,Email,45 - 54,Male,Phishing scams,$0.00,15
2025-09-01,New South Wales,Email,45 - 54,Male,Phishing scams,$0.00,11
2025-10-01,New South Wales,Email,45 - 54,Male,Phishing scams,$2600.00,21
2025-11-01,New South Wales,Email,45 - 54,Male,Phishing scams,$500.00,18
2025-01-01,New South Wales,Email,45 - 54,Female,Phishing scams,$0.00,39
2025-02-01,New South Wales,Email,45 - 54,Female,Phishing scams,$500.00,33
2025-03-01,New South Wales,Email,45 - 54,Female,Phishing scams,$0.00,44
2025-04-01,New South Wales,Email,45 - 54,Female,Phishing scams,$1500.00,67
2025-05-01,New South Wales,Email,45 - 54,Female,Phishing scams,$0.00,56
2025-06-01,New South Wales,Email,45 - 54,Female,Phishing scams,$0.00,37
2025-07-01,New South Wales,Email,45 - 54,Female,Phishing scams,$0.00,69
2025-08-01,New South Wales,Email,45 - 54,Female,Phishing scams,$0.00,55
2025-09-01,New South Wales,Email,45 - 54,Female,Phishing scams,$1874.00,33
2025-10-01,New South Wales,Email,45 - 54,Female,Phishing scams,$0.00,38
2025-11-01,New South Wales,Email,45 - 54,Female,Phishing scams,$210.00,33
2025-01-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,19
2025-02-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,19
2025-03-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,30
2025-04-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,19
2025-05-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,9
2025-06-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,19
2025-07-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,18
2025-08-01,New South Wales,Email,35 - 44,Female,Phishing scams,$1599.28,12
2025-09-01,New South Wales,Email,35 - 44,Female,Phishing scams,$880.00,16
2025-10-01,New South Wales,Email,35 - 44,Female,Phishing scams,$0.00,20
2025-11-01,New South Wales,Email,35 - 44,Female,Phishing scams,$10000.00,19
2025-10-01,New South Wales,Email,35 - 44,Male,Phishing scams,$0.00,14
2025-11-01,New South Wales,Email,35 - 44,Male,Phishing scams,$11900.00,14
2025-06-01,New South Wales,Email,35 - 44,Male,Phishing scams,$0.00,5
2025-09-01,New South Wales,Email,35 - 44,Male,Phishing scams,$35000.00,8
2025-01-01,New South Wales,Email,35 - 44,Male,Phishing scams,$2662.51,15
2025-05-01,New South Wales,Email,35 - 44,Male,Phishing scams,$500.00,13
2025-07-01,New South Wales,Email,35 - 44,Male,Phishing scams,$14951.31,14
2025-02-01,New South Wales,Email,35 - 44,Male,Phishing scams,$0.00,17
2025-03-01,New South Wales,Email,35 - 44,Male,Phishing scams,$0.00,11
2025-08-01,New South Wales,Email,35 - 44,Male,Phishing scams,$0.00,12
2025-04-01,New South Wales,Email,35 - 44,Male,Phishing scams,$0.00,4
2025-02-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,2
2025-04-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-07-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,2
2025-08-01,New South Wales,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-07-01,New South Wales,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-10-01,New South Wales,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-09-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,9
2025-01-01,New South Wales,Email,25 - 34,Male,Phishing scams,$20000.00,8
2025-03-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,14
2025-08-01,New South Wales,Email,25 - 34,Male,Phishing scams,$8732.37,10
2025-11-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,9
2025-04-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,3
2025-06-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,4
2025-07-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,9
2025-02-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,8
2025-10-01,New South Wales,Email,25 - 34,Male,Phishing scams,$7200.00,9
2025-05-01,New South Wales,Email,25 - 34,Male,Phishing scams,$0.00,10
2025-04-01,New South Wales,Email,25 - 34,Female,Phishing scams,$520.00,8
2025-09-01,New South Wales,Email,25 - 34,Female,Phishing scams,$0.00,5
2025-02-01,New South Wales,Email,25 - 34,Female,Phishing scams,$752.36,20
2025-05-01,New South Wales,Email,25 - 34,Female,Phishing scams,$16302.50,10
2025-01-01,New South Wales,Email,25 - 34,Female,Phishing scams,$0.00,9
2025-10-01,New South Wales,Email,25 - 34,Female,Phishing scams,$0.00,9
2025-06-01,New South Wales,Email,25 - 34,Female,Phishing scams,$1600.00,9
2025-03-01,New South Wales,Email,25 - 34,Female,Phishing scams,$0.00,9
2025-11-01,New South Wales,Email,25 - 34,Female,Phishing scams,$0.00,4
2025-07-01,New South Wales,Email,25 - 34,Female,Phishing scams,$0.00,7
2025-08-01,New South Wales,Email,25 - 34,Female,Phishing scams,$2000.00,14
2025-10-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,3
2025-02-01,New South Wales,Email,18 - 24,Male,Phishing scams,$0.00,5
2025-02-01,New South Wales,Email,18 - 24,Female,Phishing scams,$1895.20,9
2025-03-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,1
2025-06-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,4
2025-11-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,1
2025-01-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,2
2025-01-01,New South Wales,Email,18 - 24,Male,Phishing scams,$50.00,5
2025-08-01,New South Wales,Email,18 - 24,Male,Phishing scams,$0.00,7
2025-04-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,4
2025-09-01,New South Wales,Email,18 - 24,Female,Phishing scams,$2950.00,2
2025-05-01,New South Wales,Email,18 - 24,Male,Phishing scams,$993.89,4
2025-09-01,New South Wales,Email,18 - 24,Male,Phishing scams,$0.00,5
2025-08-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,1
2025-10-01,New South Wales,Email,18 - 24,Male,Phishing scams,$0.00,3
2025-06-01,New South Wales,Email,18 - 24,Male,Phishing scams,$0.00,4
2025-03-01,New South Wales,Email,18 - 24,Male,Phishing scams,$1200.00,3
2025-05-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,3
2025-07-01,New South Wales,Email,18 - 24,Male,Phishing scams,$0.00,1
2025-07-01,New South Wales,Email,18 - 24,Female,Phishing scams,$0.00,1
2025-11-01,New South Wales,Email,18 - 24,Male,Phishing scams,$2500.00,2
2025-01-01,New South Wales,Email,Under 18,Female,Phishing scams,$0.00,1
2025-07-01,New South Wales,Email,Under 18,Male,Phishing scams,$0.00,1
2025-04-01,New South Wales,Email,Under 18,Male,Phishing scams,$0.00,1
2025-05-01,New South Wales,Email,Under 18,Male,Phishing scams,$0.00,1
2025-08-01,New South Wales,Email,Under 18,Male,Phishing scams,$0.00,2
2025-08-01,Victoria,Email,Under 18,Male,Phishing scams,$0.00,2
2025-07-01,Victoria,Email,Under 18,Male,Phishing scams,$0.00,1
2025-11-01,Victoria,Email,Under 18,Male,Phishing scams,$0.00,1
2025-10-01,Victoria,Email,Under 18,Female,Phishing scams,$0.00,1
2025-05-01,Victoria,Email,Under 18,Male,Phishing scams,$0.00,1
2025-02-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,3
2025-08-01,Victoria,Email,18 - 24,Female,Phishing scams,$100.00,7
2025-04-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,2
2025-09-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,5
2025-10-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,1
2025-01-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,3
2025-05-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,3
2025-03-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,3
2025-07-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,2
2025-09-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,5
2025-01-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,8
2025-03-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,2
2025-05-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,3
2025-06-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,2
2025-11-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,2
2025-04-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,2
2025-02-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,1
2025-06-01,Victoria,Email,18 - 24,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-06-01,Victoria,Email,18 - 24,Female,Phishing scams,$0.00,4
2025-10-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,3
2025-07-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,1
2025-08-01,Victoria,Email,18 - 24,Male,Phishing scams,$0.00,2
2025-01-01,Victoria,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,5
2025-11-01,Victoria,Email,25 - 34,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-07-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,7
2025-06-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,6
2025-08-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,9
2025-04-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,3
2025-09-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,7
2025-10-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,6
2025-05-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,9
2025-03-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,2
2025-02-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,8
2025-11-01,Victoria,Email,25 - 34,Male,Phishing scams,$12242.09,5
2025-01-01,Victoria,Email,25 - 34,Male,Phishing scams,$0.00,1
2025-10-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,7
2025-01-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,8
2025-08-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,11
2025-05-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,6
2025-11-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,11
2025-09-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,8
2025-03-01,Victoria,Email,25 - 34,Female,Phishing scams,$214.19,9
2025-02-01,Victoria,Email,25 - 34,Female,Phishing scams,$2900.00,7
2025-04-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,4
2025-07-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,11
2025-06-01,Victoria,Email,25 - 34,Female,Phishing scams,$0.00,7
2025-03-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,10
2025-08-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,12
2025-06-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,7
2025-02-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,18
2025-07-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,12
2025-01-01,Victoria,Email,35 - 44,Male,Phishing scams,$16500.00,19
2025-04-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,8
2025-11-01,Victoria,Email,35 - 44,Male,Phishing scams,$87.00,9
2025-05-01,Victoria,Email,35 - 44,Male,Phishing scams,$1.94,7
2025-09-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,6
2025-10-01,Victoria,Email,35 - 44,Male,Phishing scams,$0.00,6
2025-02-01,Victoria,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-10-01,Victoria,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-05-01,Victoria,Email,35 - 44,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-01-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,12
2025-06-01,Victoria,Email,35 - 44,Female,Phishing scams,$700.00,19
2025-04-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,16
2025-02-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,7
2025-10-01,Victoria,Email,35 - 44,Female,Phishing scams,$255.29,11
2025-11-01,Victoria,Email,35 - 44,Female,Phishing scams,$2256.00,11
2025-07-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,13
2025-03-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,12
2025-08-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,13
2025-05-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,7
2025-09-01,Victoria,Email,35 - 44,Female,Phishing scams,$0.00,7
2025-11-01,Victoria,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-01-01,Victoria,Email,45 - 54,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-01-01,Victoria,Email,45 - 54,Male,Phishing scams,$6.00,33
2025-02-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,25
2025-03-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,29
2025-04-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,22
2025-05-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,16
2025-06-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,15
2025-07-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,26
2025-08-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,25
2025-09-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,30
2025-10-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,19
2025-11-01,Victoria,Email,45 - 54,Male,Phishing scams,$0.00,11
2025-01-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,32
2025-02-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,22
2025-03-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,33
2025-04-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,28
2025-05-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,14
2025-06-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,18
2025-07-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,10
2025-08-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,19
2025-09-01,Victoria,Email,45 - 54,Female,Phishing scams,$0.00,24
2025-10-01,Victoria,Email,45 - 54,Female,Phishing scams,$5350.00,31
2025-11-01,Victoria,Email,45 - 54,Female,Phishing scams,$1392.00,12
2025-03-01,Victoria,Email,55 - 64,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-01-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,62
2025-02-01,Victoria,Email,55 - 64,Male,Phishing scams,$40617.13,62
2025-03-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,62
2025-04-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,57
2025-05-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,39
2025-06-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,43
2025-07-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,50
2025-08-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,45
2025-09-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,49
2025-10-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,24
2025-11-01,Victoria,Email,55 - 64,Male,Phishing scams,$0.00,24
2025-01-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,58
2025-02-01,Victoria,Email,55 - 64,Female,Phishing scams,$2070.80,74
2025-03-01,Victoria,Email,55 - 64,Female,Phishing scams,$641.07,88
2025-04-01,Victoria,Email,55 - 64,Female,Phishing scams,$232.17,68
2025-05-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,50
2025-06-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,63
2025-07-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,60
2025-08-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,46
2025-09-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,41
2025-10-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,40
2025-11-01,Victoria,Email,55 - 64,Female,Phishing scams,$0.00,35
2025-07-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,12
2025-04-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,12
2025-03-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,13
2025-08-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,2
2025-06-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,13
2025-10-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,6
2025-09-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,1
2025-02-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,10
2025-01-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,6
2025-11-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,4
2025-05-01,Victoria,Email,Unspecified,X (Indeterminate/Intersex/Unspecified),Phishing scams,$0.00,2
2025-01-01,Victoria,Email,Unspecified,Female,Phishing scams,$749.00,126
2025-02-01,Victoria,Email,Unspecified,Female,Phishing scams,$649.95,99
2025-03-01,Victoria,Email,Unspecified,Female,Phishing scams,$62.84,115
2025-04-01,Victoria,Email,Unspecified,Female,Phishing scams,$3300.00,118
2025-05-01,Victoria,Email,Unspecified,Female,Phishing scams,$25000.00,158
2025-06-01,Victoria,Email,Unspecified,Female,Phishing scams,$0.00,104
2025-07-01,Victoria,Email,Unspecified,Female,Phishing scams,$1600.00,121
2025-08-01,Victoria,Email,Unspecified,Female,Phishing scams,$880.68,102
2025-09-01,Victoria,Email,Unspecified,Female,Phishing scams,$30253.00,106
2025-10-01,Victoria,Email,Unspecified,Female,Phishing scams,$800.00,92
2025-11-01,Victoria,Email,Unspecified,Female,Phishing scams,$0.00,89
2025-01-01,Victoria,Email,Unspecified,Male,Phishing scams,$0.00,114
2025-02-01,Victoria,Email,Unspecified,Male,Phishing scams,$0.00,115
